,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster_length0,cluster_length1,cluster_length2,cluster_length3,cluster_length4,cluster_length5,cluster_length6,cluster_length7,cluster_length8,cluster_length9
38,4.0315,4.0438,4.0429,4.0453,4.0453,4.0362,4.0362,4.0635,4.0334,4.062,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
39,4.0334,4.0472,4.0448,4.0453,4.0453,4.0362,4.0362,4.066,4.0334,4.0645,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
40,4.0334,4.0482,4.0448,4.0453,4.0453,4.0395,4.0367,4.067,4.0367,4.0645,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
41,4.0353,4.0487,4.0453,4.0453,4.0462,4.0395,4.0386,4.0721,4.0376,4.066,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
42,4.0353,4.0506,4.0453,4.0453,4.0472,4.04,4.041,4.0731,4.0395,4.067,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
43,4.0367,4.054,4.0453,4.0453,4.0516,4.0419,4.041,4.0742,4.041,4.0675,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
44,4.04,4.0565,4.0453,4.0453,4.0521,4.0419,4.0419,4.0762,4.0419,4.0675,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,4.04,4.0565,4.0472,4.0453,4.054,4.0419,4.0419,4.0773,4.0419,4.0675,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
46,4.0429,4.0565,4.0521,4.0453,4.06,4.0429,4.0429,4.0783,4.0429,4.0675,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47,4.0438,4.06,4.0531,4.0453,4.061,4.0429,4.0453,4.0794,4.0438,4.0696,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
48,4.0448,4.062,4.0531,4.0453,4.0635,4.0438,4.0453,4.0799,4.0438,4.0706,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49,4.0448,4.065,4.0531,4.0453,4.0635,4.0438,4.0462,4.0799,4.0453,4.0747,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
50,4.0462,4.067,4.0531,4.0453,4.0685,4.0448,4.0462,4.0825,4.0453,4.0747,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
