id,data_count_new,cluster_belong_new,data_count_sum
375,3,5,601
376,1,-5,602
377,1,-5,603
378,1,-5,604
379,1,-5,605
380,1,-5,606
381,2,8,608
382,1,-5,609
383,2,7,611
384,1,-5,612
385,1,-5,613
386,2,4,615
387,2,6,617
388,2,2,619
389,1,-5,620
390,1,-5,621
391,2,3,623
392,2,6,625
393,2,9,627
394,2,5,629
395,1,-5,630
396,2,8,632
397,1,-5,633
398,2,7,635
399,1,-5,636
400,2,4,638
401,1,-5,639
402,2,0,641
403,2,1,643
404,1,-5,644
405,1,-5,645
406,2,7,647
407,1,-5,648
408,1,-5,649
409,2,4,651
410,1,-5,652
411,4,4,656
412,1,-5,657
413,1,-5,658
414,2,7,660
415,1,-5,661
416,1,-5,662
417,1,-5,663
418,1,-5,664
419,2,5,666
420,2,7,668
421,1,-5,669
422,2,6,671
423,1,-5,672
424,1,-5,673
425,1,-5,674
426,1,-5,675
427,2,9,677
428,1,-5,678
429,1,-5,679
430,3,1,682
431,1,-5,683
432,2,8,685
433,2,3,687
434,1,-5,688
435,2,5,690
436,2,7,692
437,1,-5,693
438,2,4,695
439,2,8,697
440,1,-5,698
441,2,6,700
442,2,5,702
443,2,2,704
444,2,2,706
445,1,-5,707
446,2,7,709
447,1,-5,710
448,2,8,712
449,2,5,714
450,1,-5,715
451,1,-5,716
452,1,-5,717
453,1,-5,718
454,2,1,720
455,1,-5,721
456,3,1,724
457,2,6,726
458,2,3,728
459,1,-5,729
460,2,4,731
461,2,2,733
462,1,-5,734
463,2,1,736
464,1,-5,737
465,1,-5,738
466,2,1,740
467,2,5,742
468,1,-5,743
469,2,1,745
470,1,-5,746
471,1,-5,747
472,2,8,749
473,1,-5,750
474,2,4,752
475,2,3,754
476,1,-5,755
477,2,9,757
478,1,-5,758
479,1,-5,759
480,2,4,761
481,1,-5,762
482,2,3,764
483,1,-5,765
484,2,5,767
485,1,-5,768
486,1,-5,769
487,2,3,771
488,1,-5,772
489,2,5,774
490,1,-5,775
491,2,0,777
492,1,-5,778
493,2,4,780
494,3,7,783
495,1,-5,784
496,2,5,786
497,1,-5,787
498,1,-5,788
499,1,-5,789
500,2,2,791
501,1,-5,792
502,2,4,794
503,2,2,796
504,2,2,798
505,2,0,800
506,2,8,802
507,1,-5,803
508,3,4,806
509,2,4,808
510,2,5,810
511,1,-5,811
512,2,6,813
513,1,-5,814
514,1,-5,815
515,1,-5,816
516,2,7,818
517,2,8,820
518,2,7,822
519,1,-5,823
520,1,-5,824
521,1,-5,825
522,1,-5,826
523,1,-5,827
524,1,-5,828
525,2,1,830
526,1,-5,831
527,1,-5,832
528,1,-5,833
529,2,3,835
530,1,-5,836
531,1,-5,837
532,2,0,839
533,1,-5,840
534,1,-5,841
535,2,4,843
536,2,4,845
537,2,3,847
538,1,-5,848
539,1,-5,849
540,2,6,851
541,2,1,853
542,2,2,855
543,1,-5,856
544,2,9,858
545,1,-5,859
546,2,6,861
547,1,-5,862
548,2,0,864
549,1,-5,865
550,2,5,867
551,2,3,869
552,1,-5,870
553,1,-5,871
554,1,-5,872
555,2,2,874
556,1,-5,875
557,1,-5,876
558,2,6,878
559,1,-5,879
560,2,3,881
561,2,1,883
562,1,-5,884
563,3,6,887
564,1,-5,888
565,1,-5,889
566,2,8,891
567,1,-5,892
568,3,1,895
569,2,2,897
570,5,8,902
571,1,-5,903
572,1,-5,904
573,2,4,906
574,1,-5,907
575,2,1,909
576,2,0,911
577,1,-5,912
578,2,0,914
579,2,3,916
580,2,3,918
581,1,-5,919
582,1,-5,920
583,2,5,922
584,1,-5,923
585,2,4,925
586,3,4,928
587,2,6,930
588,1,-5,931
589,1,-5,932
590,2,4,934
591,1,-5,935
592,1,-5,936
593,2,6,938
594,1,-5,939
595,2,5,941
596,1,-5,942
597,1,-5,943
598,1,-5,944
599,2,4,946
600,2,3,948
601,1,-5,949
602,1,-5,950
603,2,4,952
604,3,5,955
605,2,2,957
606,2,0,959
607,2,1,961
608,1,-5,962
609,1,-5,963
610,1,-5,964
611,2,7,966
612,1,-5,967
613,1,-5,968
614,1,-5,969
615,2,6,971
616,2,6,973
617,2,6,975
618,1,-5,976
619,1,-5,977
620,1,-5,978
621,2,3,980
622,2,0,982
623,2,1,984
624,1,-5,985
625,1,-5,986
626,1,-5,987
627,1,-5,988
628,2,4,990
629,2,8,992
630,1,-5,993
631,1,-5,994
632,2,4,996
633,1,-5,997
634,2,5,999
635,1,-5,1000
636,1,-5,1001
637,1,-5,1002
638,1,-5,1003
639,1,-5,1004
640,2,3,1006
641,1,-5,1007
642,1,-5,1008
643,2,3,1010
644,1,-5,1011
645,1,-5,1012
646,2,3,1014
647,1,-5,1015
648,1,-5,1016
649,2,5,1018
650,2,1,1020
651,2,6,1022
652,1,-5,1023
653,1,-5,1024
654,2,8,1026
655,1,-5,1027
656,2,3,1029
657,1,-5,1030
658,1,-5,1031
659,2,4,1033
660,1,-5,1034
661,1,-5,1035
662,1,-5,1036
663,1,-5,1037
664,2,9,1039
665,1,-5,1040
666,1,-5,1041
667,1,-5,1042
668,2,3,1044
669,2,1,1046
670,3,6,1049
671,2,6,1051
672,1,-5,1052
673,1,-5,1053
674,2,1,1055
675,1,-5,1056
676,2,2,1058
677,2,4,1060
678,1,-5,1061
679,1,-5,1062
680,1,-5,1063
681,1,-5,1064
682,2,1,1066
683,1,-5,1067
684,1,-5,1068
685,1,-5,1069
686,1,-5,1070
687,2,6,1072
688,2,6,1074
689,1,-5,1075
690,1,-5,1076
691,2,5,1078
692,2,5,1080
693,1,-5,1081
694,2,4,1083
695,2,0,1085
696,1,-5,1086
697,2,0,1088
698,2,3,1090
699,1,-5,1091
700,1,-5,1092
701,2,9,1094
702,2,1,1096
703,1,-5,1097
704,1,-5,1098
705,1,-5,1099
706,1,-5,1100
707,1,-5,1101
708,4,2,1105
709,1,-5,1106
710,1,-5,1107
711,1,-5,1108
712,2,7,1110
713,2,4,1112
714,2,8,1114
715,1,-5,1115
716,1,-5,1116
717,1,-5,1117
718,2,7,1119
719,1,-5,1120
720,2,7,1122
721,1,-5,1123
722,1,-5,1124
723,3,1,1127
724,1,-5,1128
725,2,0,1130
726,1,-5,1131
727,2,4,1133
728,1,-5,1134
729,1,-5,1135
730,2,4,1137
731,2,3,1139
732,1,-5,1140
733,2,8,1142
734,1,-5,1143
735,1,-5,1144
736,1,-5,1145
737,2,9,1147
738,3,7,1150
739,2,0,1152
740,2,8,1154
741,2,1,1156
742,3,1,1159
743,2,9,1161
744,1,-5,1162
745,3,6,1165
746,2,3,1167
747,2,3,1169
748,2,6,1171
749,1,-5,1172
750,1,-5,1173
751,1,-5,1174
752,1,-5,1175
753,1,-5,1176
754,2,0,1178
755,1,-5,1179
756,2,1,1181
757,1,-5,1182
758,2,5,1184
759,2,6,1186
760,1,-5,1187
761,1,-5,1188
762,2,3,1190
763,2,2,1192
764,2,2,1194
765,1,-5,1195
766,4,7,1199
767,1,-5,1200
768,2,1,1202
769,1,-5,1203
770,1,-5,1204
771,2,7,1206
772,2,0,1208
773,2,6,1210
774,1,-5,1211
775,1,-5,1212
776,2,5,1214
777,2,5,1216
778,1,-5,1217
779,1,-5,1218
780,2,4,1220
781,1,-5,1221
782,4,5,1225
783,1,-5,1226
784,3,3,1229
785,2,1,1231
786,3,6,1234
787,2,2,1236
788,1,-5,1237
789,1,-5,1238
790,2,5,1240
791,1,-5,1241
792,1,-5,1242
793,1,-5,1243
794,1,-5,1244
795,2,8,1246
796,1,-5,1247
797,2,5,1249
798,1,-5,1250
799,2,9,1252
800,2,5,1254
801,2,0,1256
802,1,-5,1257
803,1,-5,1258
804,2,3,1260
805,2,3,1262
806,1,-5,1263
807,2,1,1265
808,2,5,1267
809,1,-5,1268
810,2,2,1270
811,2,1,1272
812,2,8,1274
813,1,-5,1275
814,1,-5,1276
815,1,-5,1277
816,1,-5,1278
817,2,3,1280
818,2,8,1282
819,2,7,1284
820,2,5,1286
821,1,-5,1287
822,2,6,1289
823,1,-5,1290
824,2,4,1292
825,1,-5,1293
826,2,4,1295
827,2,8,1297
828,1,-5,1298
829,2,6,1300
830,1,-5,1301
831,3,0,1304
832,2,8,1306
833,2,3,1308
834,2,7,1310
835,1,-5,1311
836,2,4,1313
837,2,1,1315
838,1,-5,1316
839,1,-5,1317
840,1,-5,1318
841,2,5,1320
842,2,0,1322
843,1,-5,1323
844,1,-5,1324
845,2,1,1326
846,2,1,1328
847,2,1,1330
848,2,3,1332
849,2,6,1334
850,1,-5,1335
851,2,7,1337
852,2,5,1339
853,1,-5,1340
854,2,1,1342
855,2,7,1344
856,2,5,1346
857,1,-5,1347
858,2,0,1349
859,2,4,1351
860,1,-5,1352
861,2,0,1354
862,2,9,1356
863,2,2,1358
864,2,7,1360
865,1,-5,1361
866,1,-5,1362
867,2,0,1364
868,3,6,1367
869,2,9,1369
870,2,3,1371
871,2,7,1373
872,2,8,1375
873,1,-5,1376
874,1,-5,1377
875,2,2,1379
876,1,-5,1380
877,2,2,1382
878,2,2,1384
879,2,0,1386
880,2,9,1388
881,1,-5,1389
882,2,1,1391
883,1,-5,1392
884,3,5,1395
885,2,0,1397
886,2,3,1399
887,1,-5,1400
888,1,-5,1401
889,2,0,1403
890,1,-5,1404
891,1,-5,1405
892,1,-5,1406
893,2,6,1408
894,1,-5,1409
895,2,2,1411
896,1,-5,1412
897,2,9,1414
898,1,-5,1415
899,1,-5,1416
900,2,7,1418
901,3,6,1421
902,2,8,1423
903,2,6,1425
904,2,4,1427
905,1,-5,1428
906,2,0,1430
907,1,-5,1431
908,1,-5,1432
909,1,-5,1433
910,1,-5,1434
911,2,9,1436
912,1,-5,1437
913,1,-5,1438
914,2,5,1440
915,2,4,1442
916,2,6,1444
917,2,1,1446
918,1,-5,1447
919,2,6,1449
920,2,4,1451
921,1,-5,1452
922,1,-5,1453
923,1,-5,1454
924,1,-5,1455
925,2,8,1457
926,1,-5,1458
927,2,5,1460
928,3,1,1463
929,2,3,1465
930,2,0,1467
931,2,7,1469
932,1,-5,1470
933,2,3,1472
934,2,1,1474
935,2,9,1476
936,2,9,1478
937,2,1,1480
938,2,7,1482
939,1,-5,1483
940,2,8,1485
941,2,1,1487
942,1,-5,1488
943,1,-5,1489
944,2,9,1491
945,2,5,1493
946,2,2,1495
947,2,0,1497
948,1,-5,1498
949,1,-5,1499
950,2,8,1501
951,1,-5,1502
952,1,-5,1503
953,1,-5,1504
954,2,3,1506
955,1,-5,1507
956,1,-5,1508
957,1,-5,1509
958,3,7,1512
959,3,5,1515
960,2,8,1517
961,2,8,1519
962,1,-5,1520
963,2,4,1522
964,2,4,1524
965,2,5,1526
966,1,-5,1527
967,2,5,1529
968,1,-5,1530
969,1,-5,1531
970,2,3,1533
971,2,7,1535
972,2,6,1537
973,1,-5,1538
974,1,-5,1539
975,2,5,1541
976,1,-5,1542
977,2,4,1544
978,1,-5,1545
979,1,-5,1546
980,1,-5,1547
981,1,-5,1548
982,2,4,1550
983,2,4,1552
984,1,-5,1553
985,3,5,1556
986,2,4,1558
987,1,-5,1559
988,2,5,1561
989,2,1,1563
990,1,-5,1564
991,2,8,1566
992,2,8,1568
993,3,2,1571
994,1,-5,1572
995,1,-5,1573
996,1,-5,1574
997,1,-5,1575
998,1,-5,1576
999,1,-5,1577
1000,1,-5,1578
1001,1,-5,1579
1002,2,4,1581
1003,2,9,1583
1004,1,-5,1584
1005,1,-5,1585
1006,1,-5,1586
1007,1,-5,1587
1008,2,5,1589
1009,2,9,1591
1010,2,5,1593
1011,1,-5,1594
1012,1,-5,1595
1013,2,1,1597
1014,1,-5,1598
1015,1,-5,1599
1016,2,8,1601
1017,2,7,1603
1018,1,-5,1604
1019,1,-5,1605
1020,2,4,1607
1021,2,5,1609
1022,2,8,1611
1023,2,1,1613
1024,2,9,1615
1025,1,-5,1616
1026,2,5,1618
1027,2,1,1620
1028,1,-5,1621
1029,2,4,1623
1030,2,3,1625
1031,1,-5,1626
1032,1,-5,1627
1033,2,8,1629
1034,1,-5,1630
1035,2,4,1632
1036,2,6,1634
1037,2,7,1636
1038,2,3,1638
1039,3,8,1641
1040,2,6,1643
1041,2,4,1645
1042,2,7,1647
1043,1,-5,1648
1044,2,7,1650
1045,2,7,1652
1046,1,-5,1653
1047,1,-5,1654
1048,2,1,1656
1049,2,7,1658
1050,2,5,1660
1051,1,-5,1661
1052,1,-5,1662
1053,1,-5,1663
1054,1,-5,1664
1055,1,-5,1665
1056,2,6,1667
1057,1,-5,1668
1058,2,8,1670
1059,2,4,1672
1060,2,6,1674
1061,1,-5,1675
1062,2,7,1677
1063,1,-5,1678
1064,2,1,1680
1065,2,8,1682
1066,4,4,1686
1067,1,-5,1687
1068,2,1,1689
1069,2,7,1691
1070,2,7,1693
1071,2,5,1695
1072,1,-5,1696
1073,2,8,1698
1074,2,9,1700
1075,2,5,1702
1076,3,7,1705
1077,2,0,1707
1078,2,0,1709
1079,1,-5,1710
1080,2,8,1712
1081,2,5,1714
1082,2,4,1716
1083,1,-5,1717
1084,3,4,1720
1085,1,-5,1721
1086,1,-5,1722
1087,1,-5,1723
1088,1,-5,1724
1089,1,-5,1725
1090,1,-5,1726
1091,1,-5,1727
1092,2,2,1729
1093,2,8,1731
1094,1,-5,1732
1095,1,-5,1733
1096,2,5,1735
1097,1,-5,1736
1098,1,-5,1737
1099,2,0,1739
1100,1,-5,1740
1101,3,5,1743
1102,2,8,1745
1103,2,8,1747
1104,1,-5,1748
1105,2,9,1750
1106,2,0,1752
1107,2,8,1754
1108,2,3,1756
1109,1,-5,1757
1110,2,8,1759
1111,1,-5,1760
1112,1,-5,1761
1113,1,-5,1762
1114,1,-5,1763
1115,2,2,1765
1116,2,8,1767
1117,3,6,1770
1118,2,6,1772
1119,1,-5,1773
1120,2,4,1775
1121,2,7,1777
1122,2,3,1779
1123,2,8,1781
1124,1,-5,1782
1125,2,0,1784
1126,1,-5,1785
1127,1,-5,1786
1128,3,6,1789
1129,1,-5,1790
1130,3,8,1793
1131,1,-5,1794
1132,2,4,1796
1133,1,-5,1797
1134,1,-5,1798
1135,3,4,1801
1136,2,3,1803
1137,1,-5,1804
1138,2,0,1806
1139,1,-5,1807
1140,1,-5,1808
1141,1,-5,1809
1142,2,8,1811
1143,2,6,1813
1144,2,6,1815
1145,1,-5,1816
1146,2,9,1818
1147,2,0,1820
1148,3,8,1823
1149,2,7,1825
1150,1,-5,1826
1151,2,8,1828
1152,1,-5,1829
1153,2,9,1831
1154,1,-5,1832
1155,1,-5,1833
1156,2,4,1835
1157,1,-5,1836
1158,1,-5,1837
1159,1,-5,1838
1160,1,-5,1839
1161,3,5,1842
1162,1,-5,1843
1163,2,2,1845
1164,2,5,1847
1165,2,8,1849
1166,1,-5,1850
1167,3,0,1853
1168,2,9,1855
1169,2,5,1857
1170,1,-5,1858
1171,2,5,1860
1172,1,-5,1861
1173,2,0,1863
1174,1,-5,1864
1175,1,-5,1865
1176,2,4,1867
1177,1,-5,1868
1178,1,-5,1869
1179,2,4,1871
1180,2,1,1873
1181,2,0,1875
1182,1,-5,1876
1183,1,-5,1877
1184,2,3,1879
1185,1,-5,1880
1186,1,-5,1881
1187,2,8,1883
1188,3,7,1886
1189,2,6,1888
1190,2,7,1890
1191,2,9,1892
1192,2,6,1894
1193,1,-5,1895
1194,2,1,1897
1195,2,6,1899
1196,1,-5,1900
1197,2,3,1902
1198,2,6,1904
1199,1,-5,1905
1200,1,-5,1906
1201,2,4,1908
1202,2,8,1910
1203,1,-5,1911
1204,1,-5,1912
1205,2,4,1914
1206,2,5,1916
1207,2,4,1918
1208,1,-5,1919
1209,1,-5,1920
1210,1,-5,1921
1211,2,4,1923
1212,2,2,1925
1213,2,1,1927
1214,1,-5,1928
1215,2,0,1930
1216,1,-5,1931
1217,1,-5,1932
1218,1,-5,1933
1219,1,-5,1934
1220,2,4,1936
1221,2,1,1938
1222,2,3,1940
1223,2,0,1942
1224,1,-5,1943
1225,1,-5,1944
1226,1,-5,1945
1227,2,2,1947
1228,1,-5,1948
1229,2,9,1950
1230,2,1,1952
1231,1,-5,1953
1232,2,5,1955
1233,1,-5,1956
1234,2,3,1958
1235,1,-5,1959
1236,2,8,1961
1237,2,9,1963
1238,2,4,1965
1239,2,7,1967
1240,2,2,1969
1241,1,-5,1970
1242,2,5,1972
1243,2,9,1974
1244,1,-5,1975
1245,2,5,1977
1246,2,4,1979
1247,2,0,1981
1248,1,-5,1982
1249,1,-5,1983
1250,2,5,1985
1251,2,3,1987
1252,1,-5,1988
1253,2,8,1990
1254,1,-5,1991
1255,2,8,1993
